FIPS,GoldsteinScale
LO,-0.1128551467163484
SE,1.4119350704827
NE,-0.78691584571338447
NC,2.1123684210526328
RP,0.42087083800956382
KU,0.874762855716425
LY,0.47698053728070133
VE,0.7993237137416056
AF,-0.23906839762360158
AV,2.2903305203938094
HO,0.54699631009774419
TN,2.5515442331181313
CW,2.1703016643550654
QA,0.41425209658868634
TH,0.44770925376747611
US,0.24622016549958942
SF,0.22830681554036147
HU,0.82037296702400941
GK,7.4
NG,1.243905231636427
LI,1.2134224190876757
RB,0.47255621091237565
IZ,0.13964537014018749
MI,0.64345903869407561
AJ,1.3641506530665435
LS,4.6178859268443908
BD,1.2886877828054293
MB,0.70931495405179623
KV,1.4062756161175278
AU,0.3710435314945642
ST,0.71353720862592052
CS,0.6786844839990408
BP,1.9744727856999396
ZI,0.60925515833537869
PE,0.9439512242445498
UZ,1.2874533169883382
PK,0.20082355544930128
BH,0.2098277589017423
DJ,2.5860719874804423
VT,1.7513918629550325
MG,0.84096652218020884
IV,0.988324800092044
TV,0.063781048432252227
CO,0.86845356813270624
NZ,0.76702988399648575
CK,0.7467341104024634
CH,1.3861943673632107
MZ,0.67505086197665654
CJ,0.94317875932949979
AS,0.4075905444513257
MH,1.2435330261136739
KE,0.39184873303763523
BB,0.93883164487545889
SH,2.3561320754716975
VI,1.1394994246260077
MR,1.43316090956431
MY,0.5006877753303961
LA,2.3598470363288726
FI,0.419553654454156
IS,-0.40592991960693603
MD,0.84340367157554985
TS,0.97159839027916173
KN,1.05695420862626
AQ,0.28333333333333349
HR,0.70218434462412682
CV,1.7424503469729584
NL,-0.38589322315125119
BN,1.2012911342117472
GI,1.5467539809667381
AR,0.9692184711067704
GQ,0.48113215005731957
CU,0.99558126912861844
GV,0.9848831392841737
WA,0.66119869706840317
BK,0.88735057220663593
EC,1.0408439279458626
SI,1.452439984903928
LG,0.9818640229863177
WS,0.83271877273642014
VM,2.1053344435425161
FM,2.7219512195121953
AE,1.1068280285861882
LE,0.37639409798972273
MO,1.2378016033338382
NO,-0.15966900795776817
SM,1.4219194312796215
NU,0.3297466476800755
MJ,1.265176838217887
RS,0.50292013067533659
SC,1.58295490885833
BA,0.99567655750172657
GG,1.4606419504205104
MN,0.47507716049382703
PC,-0.15605780182232357
RI,0.6241227522910332
IN,0.32007387474437476
TZ,1.4712733541817022
MV,0.32275718739175613
TW,0.81292665990064661
PA,0.84457393492049715
BT,1.5557111834962007
PM,0.75303825136611946
WZ,0.607022786701532
SY,0.002612768055213154
MF,1.3079754601226987
SO,0.38900699961458618
BL,0.86866816331353269
BF,0.88180454039401723
CI,0.97190020274230893
BO,1.065307202197356
KG,1.41363120769826
AC,1.3722113502935427
FR,0.35552462610575281
EG,0.9898400045017357
FO,3.0415094339622635
IR,-0.49451053339666551
TO,1.1467176962695269
GA,1.2071001063344988
EN,1.0985407943154388
GT,0.886115406527224
YM,-0.83783125840825168
TD,0.21583723854154763
DO,2.3507346585998237
SX,-2.0
UP,0.22399444449079325
MC,0.97135832970014
RO,0.77028283380576246
GJ,1.7904170073589545
MU,0.88964826928001206
MT,0.611979790782784
TT,6.0888888888888886
CT,0.46808566205275526
JE,0.16256686824049296
TU,0.26281846094314815
CA,0.36592050468610493
KS,1.4836214105363996
RE,0.1360617098778662
AN,1.8421267402784445
SP,1.0796192046497091
ID,0.91524320401647463
CF,0.19149555033324367
TX,2.5808800623052988
HA,0.96792073758084429
CB,1.0368260442863282
CN,1.5623300257258377
OD,0.72206924207993606
IM,1.388243526941916
MX,0.79708301203111842
SZ,0.23725782209629015
IO,-0.4147258485639686
MA,1.3254254143646391
BM,0.67099051959377853
FJ,1.37372194483957
IC,2.1346051957301526
VQ,0.76204016913319317
PO,0.88085211990314316
CY,0.86134383741508169
ML,0.76985092259994281
SN,0.94774923235159447
BC,0.7235774764639703
GH,0.79010992191662832
NP,0.747867538138597
IT,0.86628287309245933
AG,0.74495459928938024
TP,2.1216494845360829
CE,0.87951706001145435
SA,0.69893853492443392
AM,0.357287088127938
AO,1.3252922158667007
LU,0.32652206210072837
GB,1.3797744217166883
KZ,1.2087189772953983
BG,0.20484398148021846
MP,1.01323241019754
JO,0.83618975163433906
JA,0.7239392045596591
CM,0.20801034327138465
BY,0.80375582101640053
VC,1.8544220665499114
RW,1.7459320848550801
LH,1.0014949507562156
ES,0.17322419106317402
GR,0.93821318408890209
OS,1.8864628820960703
JM,0.75325150662483653
GM,0.586478321981639
SU,1.1951135216952546
LT,0.59608622669847189
RQ,0.69969913501316217
SG,0.80154618997912253
DR,0.926389811172976
PL,0.89708627124191864
CG,0.83844550614037849
ER,1.7695707762557074
SW,-0.52216045754230012
ZA,1.0643035052548446
BX,0.69057096871862811
EI,0.54153208626562621
UK,0.3393035902363678
ET,1.8818305939190241
GY,-0.13891458289355021
UG,0.39948662341560848
NI,0.41550126635822737
UY,0.7745388117298817
CD,0.16527424442861477
BE,0.0678912682330174
BU,1.2498848929003485
DA,-0.10137114844345359
MK,0.78903446418149392
BR,0.32712719346733937
HK,0.44406300249917646
AL,1.3096106516326569
NS,0.35169276170177871
UV,2.5398822669350221
AA,-1.7999999999999998
EZ,0.75674661857529346
TI,1.5234530276931249
FP,1.5205294435440315
PP,1.4496129249410967
SL,0.845371836162819
