Country,GoldsteinScale
BH,0.42707441790483225
KU,1.2993522819837344
KV,0.665119970527593
LO,1.0859860899886851
IC,1.118510218578024
EK,1.5297582144401531
PU,1.55968360478846
PP,0.66545936150960316
MA,1.5194326482929634
LU,1.6913512933731241
PC,0.83695652173913027
RW,0.92610194942915214
TE,-0.15000000000000013
TI,1.0417528731210441
FM,1.669092395749378
UK,0.76476520823395044
NG,0.307431422754628
RI,1.0908259660672195
RS,0.29188791879423809
VI,1.0056529931926019
CO,1.4525068680142932
GG,1.074591995382808
RO,0.80899056018326942
TX,0.85660321712540832
LQ,1.245
AE,1.6058832797097258
RE,1.0223339764213633
SP,1.1007000530225426
TO,1.4487186428795702
BM,0.29966505124043169
WZ,1.0874478926060338
BO,1.1784578625095412
NL,0.77903241738795848
SN,1.4288529587409688
SO,-0.87649939645962749
RM,0.9133573463267971
UZ,1.1983196596105119
TL,1.4084645667883358
TP,1.5906598113428276
CS,1.3223048482219015
PA,0.93440686346343116
NE,2.490930506478207
FG,2.0055706521121621
LY,-0.18716757581733506
CU,1.598455676559831
CG,-0.28243093920124268
HA,1.0804433133999027
AO,1.4601905625864873
HR,1.0569083863103237
HK,0.7209936654562108
VC,0.844574345492481
IT,1.022085562981407
TD,0.467689112174215
RQ,1.0962151985734669
UP,0.0906685102135874
GQ,1.0183517468623453
RB,0.44681967820988483
BN,0.72973867729937736
FR,0.44758832454775005
AJ,0.87440444197239986
IV,0.49338709673710346
YI,-0.19144819841451094
CW,1.7004916018169864
CT,-0.31202982178598332
QA,1.9810557285875177
ZA,0.86860119705882388
KN,-0.304959354401923
AF,-0.93224337769108057
CV,1.1816187171436678
IR,0.51711459131397419
DO,1.3187197575170477
NH,2.3813865473548077
SA,0.29679120655629537
TZ,1.2844293078619908
TK,0.15082321193054132
LG,1.3493278738277821
MY,0.74807482043145479
EI,0.84127001843313842
WA,1.068273844751938
ZI,0.15396178375452838
GT,0.48468658289738503
AM,0.61949538083502143
MZ,0.7309223915971812
AL,0.57419277726684415
KS,0.79238547429855011
EZ,1.0588881521502735
SB,1.3489510491177745
AU,1.0083139106295842
BV,2.2611111111111111
LI,1.2433888030543299
GH,0.92601718969130642
IP,5.5
GJ,0.93354658358142251
ID,0.68053379067712061
IO,0.99665809762508539
WQ,-1.2711999999999999
PE,1.0428341160410275
SV,1.4901580824407004
BP,1.7096025225100391
SG,1.1256377947768037
KQ,3.0
DQ,-3.6833333333333331
MJ,0.62432529470196774
FP,1.3471105317853653
IM,1.2038258577792817
WF,2.9249999985098838
BG,-0.83729523961413332
SC,1.446769527306859
KR,0.66152163368002814
ES,-0.028152904686121579
SM,1.6679736294529652
HO,0.13842681111183514
UY,1.4873721063009202
MK,0.8526162000437193
DA,0.65852062169001324
SZ,1.1145340497895824
AQ,1.0883748807177331
PF,-0.94876816125512453
GK,1.0689092097344051
KT,1.2250786989395666
JQ,-1.1090909090909091
CJ,1.759989711295969
PO,1.2521209297717983
OC,1.6824153706248703
FJ,1.6055367664314557
MX,0.69835827416961327
CF,-0.0048067898668638425
NR,0.271270438876689
SI,1.576830680431849
GM,0.60250671516649612
JN,1.63
PK,-0.52796594968820709
GP,0.86566463127959725
BR,0.5999084231543037
MO,0.99448576052898041
CY,1.3231705985437432
IZ,-1.1347676043276149
TH,0.57769604840303035
KG,1.1479594487456424
FK,1.3633995037220841
CD,0.20276631373628151
MG,1.642294331959226
TU,-0.24875094809656523
OS,0.81668617441712232
LH,1.2263461861540637
SE,1.7179597786344294
JA,1.27371279472044
,0.19437672050202273
CE,0.912914048345478
OD,-0.32866639998840097
RN,1.1371909340884492
UG,0.33063646689365772
HU,0.88585266477322255
LE,0.34942591686542152
NS,1.0801319189638641
VQ,1.0605482341359331
CM,0.46851701558273912
MB,0.61750238510428235
BE,0.32477442454051925
WI,1.0670506296657922
NT,1.6636771297241009
BK,0.092492823636021571
EN,1.3313904760209356
TW,1.0514461476803389
JM,0.92278627826100135
AY,1.5060184207997183
AS,0.73136232533383616
CA,1.0896453088939815
SH,0.88246297722948031
BQ,2.3499999999999996
CB,0.68562745747466625
DJ,0.99273114166991239
SF,0.40535092937782463
AN,1.6501309674598004
MD,1.1312115610873497
ST,1.5792912342306247
GB,0.74011865302583257
GI,0.91810352135125639
MT,1.1964307481619534
UV,0.35947968040177908
AA,1.7017158544587212
BU,1.2561959238712157
EG,0.75754474159611607
PL,1.0141430951813244
SY,-0.85588250118034848
BD,1.4812865721122033
ML,0.42912719517424353
AV,2.0338879459276682
BX,1.1330126568068217
LA,1.812388885157205
PG,0.50807754417212347
BB,1.3021694840996179
LT,0.9461237998499713
MR,1.2279947766425621
BA,0.8173673935137209
NZ,1.3204519434815614
EU,2.6499999999999995
JO,0.680426878050483
NC,1.6208481461551354
NU,1.1144653266036133
TV,2.8076156298794803
CN,1.5574511631322463
IS,-0.32985119022399317
NP,0.89760055150195839
SW,0.51493833083879959
TN,1.3375242530582576
TS,-0.035984392960217618
US,0.47753164383724739
CQ,0.97752355393298018
RP,0.35646736498695597
GA,0.86430270106297591
GL,1.3605541680213304
MP,1.2690490630448288
PS,1.6263016692222063
VM,1.4465019477176484
BL,1.0932879597700766
EC,1.4608994085553109
ET,0.6438837582291298
MF,0.9150763358778623
CH,1.214328302221356
FO,0.96867605633802834
TT,1.5141266286598558
WE,-1.6629967338012781
HQ,0.66301369863013693
KE,0.29017868143919356
AG,0.835625655589076
GY,0.73762925013313585
NF,1.4652597405887267
NO,0.99919882497242285
MI,0.6906869768509134
FQ,1.96
IN,0.1604076978885251
