Country,GoldsteinScale
EK,1.3786273813545316
ES,0.069854359622663176
SM,1.6060006218347449
NE,2.2237418254193924
FG,1.543815226673926
NP,1.0063034779332893
PU,1.6758215376427914
KE,0.29336794240046343
TP,1.8962164012593106
MQ,2.94
IO,0.98394534583788018
WQ,-0.37942754919499116
LG,1.319193237738788
MY,0.71999836112994831
DA,0.71154482559403376
NT,1.6386977886099192
PP,1.1111255895443437
AC,1.4926407850045507
WS,1.339126761608008
IC,1.196641346434373
HK,0.9421271927223378
VI,1.1774009888693577
RW,0.89607589010782429
AO,1.5351560738880186
HR,0.98117160114465618
GH,1.0403490965936424
IP,2.9588235294117644
GA,1.0216747756239701
GL,1.2328432927500652
MK,1.1223533747209358
JA,1.2781322636664683
,0.1980696206139074
GP,0.79131212874104506
FK,0.90729349736379594
AE,1.6301640690824917
RE,0.93179559167139325
SP,0.9610335877528664
TO,1.1534309351409906
CW,1.9363913392105898
GB,1.1642721521923298
GI,1.0249834568361686
MT,1.0876397801387554
UV,0.68404195786949973
BD,1.3773926975370143
TI,1.0515368156263032
FM,1.812732404735971
RS,0.34721468034762848
FP,1.4467915438457331
IM,0.59144273420211213
WF,2.360869564871857
BY,-0.0859459678307306
AN,1.5264189262154213
MD,1.2291753288689431
ST,1.5390922022948021
DR,0.97656305995008752
KZ,1.5254998772542581
AY,1.2843385630794411
AQ,1.2569339587025652
PF,-0.94235705922476176
CB,0.70335418119719229
DJ,1.059203040547692
SF,0.3474262847996813
TX,1.2730604357000934
LQ,1.4360655737704917
HU,0.88953058970780186
LE,0.271612530963235
BH,0.48320953231976094
KU,1.4167898313057312
KV,0.76890529913692274
LO,0.78964049692303784
PE,1.0473162391619621
SV,1.1388444850041357
CN,1.1397956641831966
IS,-0.34337550006522433
NU,0.50062956799172731
TV,2.487077117013841
NC,1.4510853650553368
UK,0.73845240608700236
EI,0.90870202301854275
WA,0.99396256162832031
ZI,0.29113019335829765
ID,0.82301543173939273
MJ,0.69216391026149016
TS,-0.0029420881438688576
US,0.50307588899683919
CQ,1.5096945553661822
CR,0.38666666666666655
OD,-0.14227938897344386
RN,1.1959252336509867
BO,1.1540394748981571
NL,0.7843624624710277
SN,1.6057418636585721
SO,-0.70501065645459116
AG,0.811848470753362
CU,1.4973508939869218
DO,1.4372345139380551
NH,2.1084541517495219
SA,0.36734911134168546
TZ,1.1641663534854205
TK,0.4186194217117381
CO,1.1344730876448235
GG,0.98607287737485771
RO,0.84449904567101819
GR,1.1732303730752445
YM,-1.2802147946132552
GT,0.53366425105203275
CF,0.16959410683804135
NR,0.5347031963667761
SI,1.576956929837704
AR,1.182257058418116
TE,0.23124999999999996
BA,0.90363994878525178
NZ,1.2661537205392595
EU,2.65
MI,0.79032525063728309
FQ,2.3510638297872335
SY,-0.9016939015457367
BM,-0.0040415730868304861
WZ,0.972354130443805
BN,0.7477258910046205
FR,0.61067679219115045
VE,0.51269993893218846
AF,-0.93973036759541884
CV,1.5920429542624004
IR,0.52762236041978727
BL,1.1087740565443114
EC,1.2693013405391351
CH,1.2659702383429112
FO,1.1837114692536379
TT,1.5868451310049227
WE,-1.5658348213439492
HQ,1.4909999999999999
MA,1.3549735198494512
PK,-0.3907327181080944
GZ,-1.108004656849624
MV,0.6141233719273872
VT,1.4220949662728457
CG,-0.0665855048103357
HA,0.99382733050050864
BG,-0.3200614518873966
KR,0.76596474630069944
SC,1.5167845257333239
ML,0.4526538091700037
AV,1.9604890311362724
HO,0.36491919851307264
SL,1.1776580204131348
SW,0.55357786413483367
TN,1.6530006317242112
NG,0.054704244049095248
LH,1.2950755966410004
SE,2.0307848931022252
LI,1.2250681712811051
GY,0.74100745147763769
NO,1.0935613511763693
NF,1.2365004704622093
CS,1.2671022720840774
PA,1.0042272430447372
RP,0.31135689448315007
GQ,0.71804601961713888
RB,0.66679498584981778
RM,1.0437642305756698
UZ,1.2867174874698819
TL,2.0424570912052742
CM,0.204735283022961
MB,0.65657754980392347
LU,1.7799578058941654
PC,0.055621301775147763
BR,0.67209988907664675
MO,0.9139619953846474
FI,1.1349420243405794
NI,0.24244241325901036
PM,1.0048499699467726
SU,0.68994624967387419
KN,0.26854960972905056
FJ,1.6030853447116427
MX,0.6979778686463749
EZ,1.0391561983870146
SB,1.67714285718827
GM,0.80417130341125664
JN,1.9134615384615381
VC,1.1618201914228365
AL,0.75654495126108545
KS,0.94324192702643028
UY,1.41685486832372
CT,-0.19801173081126081
QA,1.5663523316201147
ZA,1.0636886231626617
BF,0.8653686890149811
BT,1.7709258773537868
LS,1.9670779806235803
GJ,1.2805489946890427
BK,0.20469031869996265
EN,1.3995163378060342
TW,1.1939105349230712
BB,1.3190419860921667
LT,0.71567148900724742
MR,1.2681897135131528
KG,1.2605048162959192
UG,0.56571511359398408
AA,1.4501973712490328
BU,1.31935190316105
EG,0.737314706097404
PL,0.987284444095144
AS,0.79081755019602817
CA,1.0510167547733258
SH,1.0570515645186034
BQ,-1.2875
SG,1.1326952916818129
KQ,2.7800000000000002
DQ,-1.7872727272727269
RI,1.1957306851907157
BP,1.7667125499798839
AM,0.77387506623472546
MZ,0.84812278708141065
SZ,1.1245161614894534
JM,0.904046395499251
JE,0.62979042701943522
MU,1.9582967678988346
BE,0.78637556319084
WI,1.1487551044725148
IT,1.0285806919964233
TD,0.49427256080411519
CD,0.020597486707124406
MG,1.6576748079461303
TU,-0.047583612164526667
OS,0.81356342054219555
GV,0.98402689153455847
MH,1.2472358535634682
CE,0.75134248752653909
BX,1.2729310063291133
LA,1.838978009813959
