FIPS,GoldsteinScale
MD,0.78322967836357238
JE,0.2420117839667684
EC,1.1190708189050695
AN,1.866339066346768
WS,0.56135402433900383
HR,0.66178474171543122
ET,1.0046106563339496
GY,0.27595324345084515
CA,0.35447355966456118
JO,0.78489327017020938
KU,0.65721390633490484
MN,0.33023466522779793
TI,1.3341236860188503
DJ,2.231090625893406
RS,0.44305492533240531
AJ,1.237842240943585
IT,0.902297890839739
SG,0.7958144325271812
BD,1.4606768865538053
IN,0.1414466744380786
TX,2.2171191135708819
BL,0.95817545755426148
TK,-0.49424651561609934
IO,0.70349249116515411
GV,1.0695383105717022
CG,0.65741696428121876
BR,0.36465840851920989
UK,0.34898043222620545
GA,1.2260861682957802
NP,0.62183516618155432
NE,-0.86755179432754015
TP,1.8170311056139428
MT,0.52548291299338346
IC,0.75229552341519978
MP,0.7722155716684842
SC,1.360523435134215
PL,0.90924826627791733
TS,0.61812434290334928
MA,1.3897174029305344
NS,0.26109408815247925
AG,0.67367278310276146
MG,0.92876842095356349
GG,1.733617730856889
SM,1.3395334590520656
QA,0.12177322340238446
NL,-0.24784007471082875
GT,0.57949764237368639
MK,0.70635138153873545
AA,1.366071428571429
FI,0.40428815541259827
GP,0.22368421052631599
BF,1.0692927250180295
UY,0.97418886904504876
PE,0.82648612924129872
GM,0.51030325974241031
LS,3.5351519952222681
BT,1.7619341131725494
PM,0.87818288657507082
CT,0.85289594013617176
CE,0.80660981659879649
SA,0.59928370572431233
TH,0.40439648847932719
IR,-0.61201347938345152
CF,0.57894868572020086
PO,0.915177401783973
LG,1.0478975506935713
PA,0.9056771056122972
FO,1.8363380281690147
VI,0.97795372695711358
HO,0.53728656614973891
OD,0.46872230883471844
GI,1.4727265813151522
LH,0.832536483802037
CU,1.1003586121313691
BA,0.91617299118246487
BK,0.81570412032034167
BY,0.43085488135584749
GQ,0.68056143103264022
BE,-0.050641251237920695
CB,0.682206208532482
WE,0.43823529411764717
KZ,1.1325646564040803
BM,0.67950995612037368
BO,1.0665480099229343
MI,0.56636222471784636
TN,2.0556149336509204
PP,1.2932736610723716
NI,0.44053853530420295
IZ,-0.077290921004821558
CV,1.4618353103034416
MO,0.82447835491980193
CN,1.7142838370471054
TD,0.401837454246475
SP,1.0460872534302377
EI,0.41423038610670537
RO,0.6732311416449096
PU,1.3887824897400822
ID,0.71889230202889831
UV,1.8161152561504739
NU,0.8532359811859771
ES,0.32120721065715263
WZ,0.86528316692928231
ER,1.2872453210221761
CI,0.81039912823093607
CM,0.42496837194087206
US,0.18011091745378405
CO,0.76956144106057334
KV,1.1017939146494056
MU,0.53188622199741864
EN,1.0181775481008732
AQ,1.220930232558139
IM,1.2063915792803439
LT,0.61768115107096244
MC,1.0451806972601905
TO,1.1305142936895802
VC,1.8882215447386668
OC,-6.3333333333333339
TT,2.3724489795918369
ZA,0.57958782991635671
AC,1.28777874311502
AV,2.2467470307480921
RE,0.13884483705926326
MZ,0.17493211204328851
CJ,1.0875927105230327
UG,0.38265783248899943
HA,1.2636723827784362
TL,1.7058823529411764
FR,0.26129103526233483
MJ,1.0792244975284635
SU,0.94621708059093046
AL,1.1112806647303528
NO,-0.22592693399770189
MF,1.3752075919335711
SH,2.3727332028701897
RP,0.29775951510681986
CD,0.56341966585708447
MX,0.73032781194712637
SY,-0.27088184449530062
MR,1.1654789782133828
MV,0.064560302132193687
SI,1.3470990454159635
FJ,1.5845224397461233
GB,1.549461512477003
BN,1.3578639624227462
ST,1.112728079710283
SL,1.113518907318011
LA,1.0206083004162221
CY,0.97455802356000731
CH,1.2061038254461214
PC,-0.3815570608663415
AM,0.71567013014468228
GL,1.8473247664178096
BG,-0.4692448713830043
TZ,1.1829770241907749
LI,1.2390321772969066
VM,1.8595223029459718
LY,0.56005895311657761
AF,-0.667172835279097
VE,0.80998235379243266
MH,1.085206671531884
SF,0.0507480429684634
TW,0.63239257691785056
VT,1.2378613703968342
BX,0.54227042874785181
DR,0.96359929072814754
KG,1.0810873121855631
KS,1.2188585168083514
ZI,0.38626124327975708
MB,0.88623715597941477
NC,1.8633684210672699
SW,-0.51992140268739784
AS,0.38330114820299915
SE,1.3122929230251812
SZ,0.069152836063985937
LO,-0.07219061753584291
BC,0.79881080655935632
SX,2.506983050887865
EZ,0.68413479616446637
KN,0.14825233383955122
AO,1.076019139015534
BH,0.33584325039139568
BU,1.0510245023966294
DO,2.4169902064247584
YM,-0.6769337459336936
CS,0.81682499847891488
NZ,0.76763162002670182
BP,1.9914080258055624
BB,0.81503196487030893
GR,1.04185367909987
MY,0.26458715951586154
IS,-0.33330747839808289
UP,0.12236762263423921
LE,-0.072843289873035608
EG,0.74165863524236342
JM,0.68725042104899436
OS,2.1188295164787729
FP,1.4026595136405224
IV,0.96249194435460872
NG,1.7698829343623774
RI,0.58152581937171355
UZ,1.3472954728922129
GH,0.57841962463690633
GK,-2.3066666666666675
JA,0.70813651425657564
HU,0.66334018931756689
AU,0.11458645436415765
ML,0.9635861466605139
SN,0.50138637460246616
WA,0.68214044667967488
SO,0.34296362890528043
RW,1.2831929722617643
DA,-0.0085728598128357036
LU,0.67904811053757019
TV,-0.10368769775335153
CW,1.9472490517171215
FM,2.8046109510086481
GJ,2.0302975062388997
RQ,0.70000836298252911
HK,0.59484552347929043
RB,0.39086681066177714
KE,0.21385518363952427
TU,-0.082376942008598367
AE,1.0577665863629051
PK,0.073754465978984288
CK,-0.35039767960414797
AR,0.975671704053681
VQ,0.79779881535525965
