FIPS,GoldsteinScale
CQ,1.5151943465424942
ER,0.8830160634846862
QA,1.5667484941083873
RP,0.31148761361240374
PF,-0.94317916800111268
AO,1.535178907438719
PM,1.0053274545970206
HQ,1.4909999999999999
PE,1.0469381969619276
AN,1.5249343040511953
SP,0.96125597230515569
ST,1.5519796772402168
KU,1.4174330171490284
MK,1.1223484230622458
TE,0.2312499999999999
IP,2.9588235294117649
CG,-0.06698400220440115
BX,1.2721136063468677
BB,1.3196152638177494
PA,1.0038692725990925
WS,1.3360071501527628
CN,1.138325706418416
GG,0.98587930129055978
IC,1.1971938028479459
PK,-0.38951977684665395
DQ,-1.787272727272728
CH,1.2635364796966884
WZ,0.97075052425945807
RW,0.89610714775762612
ZI,0.292150778708961
AS,0.79093673866670289
NZ,1.261591794511878
VC,1.1602418083143931
MV,0.61643342344596808
KE,0.29488748812817622
YM,-1.2746508551851348
BN,0.74873863401797147
EG,0.73835146520271844
IV,0.875664526420068
SO,-0.70306307880358743
AM,0.77317245939987056
ES,0.07104650974925393
MN,1.3069361306220766
MO,0.91706464192406667
SM,1.604795369996223
CD,0.02485100183463617
EK,1.3799432825035027
EI,0.90912801792508779
FI,1.1345687432117255
WI,1.1512481098562186
NF,1.2365004704622096
PG,0.3123740426295108
TZ,1.1644292105821481
JM,0.90476575326242037
GK,1.027294458549487
GV,0.98403202390882061
PC,0.055621301775148076
BA,0.9046827312493495
IZ,-0.89446594369240318
MU,1.9587800398783772
VI,1.1757196308371722
MQ,2.94
ID,0.82302093034060031
MJ,0.692147943678653
OD,-0.1428016242563947
VT,1.4233409982502876
PO,1.2351874375774827
UG,0.56691546640035206
LO,0.78928518065830233
MF,0.98933644859813008
AY,1.2870331640068806
JO,0.92416377686126772
MZ,0.8494036230636075
LT,0.7166576780991466
OC,1.48719428527181
BP,1.7658042863716641
GR,1.172872765728397
NP,1.0056664372306321
AC,1.4917977982882973
CA,1.0490506299238422
MA,1.3560233265007897
YI,0.099640315924204026
LA,1.8399419575048042
TO,1.1455301392753785
BL,1.1076044150530067
KG,1.2612175730382829
RB,0.66662223646480812
FG,1.5427449641360711
WQ,-0.37942754919499111
SV,1.1336144028790138
LE,0.27130674310835978
PL,0.98912088767463058
TV,2.4816268843946547
TT,1.5879464383138393
MI,0.79012334902487957
SH,1.0539338154252542
FM,1.8137295709115582
FJ,1.6034208518495028
GB,1.1649883553293203
MT,1.0886984378613731
MH,1.2424783339803367
BT,1.7712175615268582
SC,1.5185058542587966
KQ,2.78
CY,1.4104821114657642
GJ,1.2799091307223043
MY,0.72074561515708657
UY,1.4157460945833023
TK,0.41915159598321977
CO,1.1339349970261676
DO,1.4363219982134274
WE,-1.5703556079887679
DJ,1.0627205808952287
FO,1.1877965043695389
NL,0.78389778026870283
TU,-0.047273423019999511
NU,0.4988130764008703
VE,0.51352330018196579
BG,-0.31859783863354663
SI,1.5751563546321521
TX,1.2754972134393594
IO,0.94987341770139866
AL,0.75394472118446287
BC,1.1768148425045368
EN,1.3986565158374709
IS,-0.3438792706146554
LY,0.0551338579111684
GY,0.74220719258935186
HA,0.99494280076851049
IM,0.59224405382541234
TL,2.045945945913727
AF,-0.93973585897276546
EU,2.65
SU,0.69221070615430313
GI,1.0260230480873713
WA,0.993844853504084
HO,0.36649765027399878
PU,1.6752517716758324
AR,1.1820709019186453
BF,0.865220639618675
CB,0.7044961515696111
UV,0.68417872711303163
OS,0.81147920291560816
LQ,1.4360655737704919
GT,0.53353050912489619
GP,0.79379817367773309
SW,0.55511257343046438
BK,0.20581609845963961
HU,0.889049358018574
AA,1.4509833650755481
GQ,0.71919563834101019
RM,1.0466195945919159
ZA,1.0647407679946466
RE,0.932846586499694
JQ,-1.4588888888888891
GL,1.2316566227614107
CW,1.938322539374433
BE,0.78671496048694589
KZ,1.5249537195518639
AJ,0.99234666997107
,0.19826651442295476
GM,0.80448886105418094
BH,0.48429367199554479
SF,0.34754016718658903
MG,1.657520985194439
PP,1.1130221823655937
LS,1.9666629188277105
BQ,-1.2875
GH,1.0415625334697662
SZ,1.1249193396216215
AG,0.80946290132514032
BM,-0.0054355906113043766
IN,0.22958880421813016
MP,1.2326410172366744
NG,0.054740948593398779
RS,0.34776623644181787
SG,1.1344460881476077
CJ,1.666775454518634
DA,0.71186697484163564
HR,0.98042135968943234
TD,0.49464986899324864
KN,0.26925963696260979
SA,0.36561249562216852
NC,1.4484432583336058
NE,2.2172755593316338
CE,0.75056316423698122
JA,1.2766744529689369
RI,1.1953832959306099
UP,0.13248075063879369
CI,1.0225426134085314
GZ,-1.1082367559052473
MB,0.654044162089797
MC,1.2308280640635383
LU,1.7802456057480571
RN,1.1964075767533398
MX,0.69843478044379492
TI,1.0515566573870025
CR,0.38666666666666655
AQ,1.2517661005416341
IT,1.0284735282657578
NR,0.53155769310784862
SB,1.6771428571882698
CV,1.5978329084214011
MD,1.2284615899923736
TW,1.1938971707698349
BV,2.3097222222222222
NS,1.0195591706735647
UZ,1.2867885550910185
NO,1.0940164175836613
TH,0.63634487092534264
FK,0.90250329380764149
KS,0.94417745362932248
FP,1.4458411338196053
SE,2.0306397152424012
FR,0.60709277852250876
BD,1.3765347584676204
ET,1.1073347367700666
GA,1.0223653267638773
FQ,2.3510638297872339
BU,1.319828031367422
JE,0.63082042834761876
CF,0.16718836466514614
LH,1.2966077606222091
AV,1.9591649617910853
WF,2.3608695648718565
BR,0.670544726615429
RO,0.84505305512748208
DR,0.97959570098141191
ML,0.45106415059954647
NT,1.63869778860992
CM,0.20556265034998186
